Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS/Hz)	Annotation
1	Spectrogram 1	1	385.924759118	389.511431987	482.575	1930.301	3.5867	1447.726	-66.99	song
2	Spectrogram 1	1	385.730407387	388.442497462	1849.872	4048.270	2.7121	2198.398	-59.23	song
3	Spectrogram 1	1	518.559179995	520.838395759	1367.297	3914.221	2.2792	2546.925	-60.93	song
4	Spectrogram 1	1	527.639803175	529.468476288	1340.487	4986.611	1.8287	3646.124	-59.04	song
5	Spectrogram 1	1	536.438715808	538.435238144	1313.677	4825.752	1.9965	3512.075	-58.24	song
6	Spectrogram 1	1	545.607112256	548.186689787	1233.248	4235.938	2.5796	3002.690	-56.79	song
7	Spectrogram 1	1	558.206308193	560.741714876	1340.487	4557.655	2.5354	3217.168	-57.60	song
8	Spectrogram 1	1	566.020609747	568.935885724	1286.867	4986.611	2.9153	3699.744	-56.84	song
9	Spectrogram 1	1	593.643172469	596.090237456	1447.726	4369.987	2.4471	2922.261	-60.77	song
10	Spectrogram 1	1	605.294469005	607.697363144	750.673	2412.876	2.4029	1662.204	-70.94	song
11	Spectrogram 1	1	628.541116829	631.209036057	1072.389	2117.969	2.6679	1045.580	-71.24	song
12	Spectrogram 1	1	704.333827575	705.862138921	1352.818	2004.175	1.5283	651.357	-73.33	song
15	Spectrogram 1	1	710.150380262	711.943716696	1277.662	1853.862	1.7933	576.200	-71.47	song
16	Spectrogram 1	1	713.206481350	716.006913122	1177.453	1954.071	2.8004	776.618	-71.28	song
17	Spectrogram 1	1	716.430953264	718.604158992	1152.401	1803.758	2.1732	651.357	-72.22	song
18	Spectrogram 1	1	723.317405595	725.879314787	1377.871	2329.854	2.5619	951.983	-69.48	song
19	Spectrogram 1	1	728.561676798	730.390349911	1127.349	2104.384	1.8287	977.035	-72.98	song
20	Spectrogram 1	1	732.659244782	734.956128885	1252.610	1979.123	2.2969	726.514	-70.20	song
21	Spectrogram 1	1	741.017717185	743.500118850	1352.818	2505.219	2.4824	1152.401	-68.63	song
22	Spectrogram 1	1	781.041707149	782.799706905	1202.505	1903.967	1.7580	701.461	-71.82	song
23	Spectrogram 1	1	806.920722202	809.641646448	1503.132	2229.645	2.7209	726.514	-67.67	song
24	Spectrogram 1	1	932.925757771	934.392229929	1327.766	2154.489	1.4665	826.722	-74.88	song
25	Spectrogram 1	1	940.705496359	941.845104241	1302.714	2981.211	1.1396	1678.497	-73.64	song
26	Spectrogram 1	1	952.903114520	955.660028974	1252.610	2129.436	2.7569	876.827	-67.87	song
27	Spectrogram 1	1	1032.993621603	1035.202164010	1402.923	2906.054	2.2085	1503.132	-70.97	song
28	Spectrogram 1	1	1246.518721514	1248.169625932	1227.557	2279.749	1.6509	1052.192	-73.37	song
29	Spectrogram 1	1	1679.169048157	1681.005912433	1252.610	4409.186	1.8369	3156.576	-67.46	song
30	Spectrogram 1	1	1687.158424978	1689.075439787	1678.497	4183.716	1.9170	2505.219	-65.39	song
31	Spectrogram 1	1	1691.107812322	1691.425842429	4960.334	8141.962	0.3180	3181.628	-51.85	call
32	Spectrogram 1	1	1695.003681128	1695.330545404	5135.699	7966.597	0.3269	2830.898	-51.88	call
33	Spectrogram 1	1	1695.805138721	1699.382977420	1427.975	4384.134	3.5778	2956.159	-65.44	song
34	Spectrogram 1	1	1701.454296092	1707.947410768	1628.392	4008.351	6.4931	2379.958	-64.28	song
35	Spectrogram 1	1	1714.177592873	1716.630386656	776.618	1929.019	2.4528	1152.401	-73.43	song
